sentence,emoji
I can’t believe this happened.,🔥
Best day ever!,😡
I just bought a new phone!,🍕
"I’m so tired, need some rest.",😎
This weather is amazing.,❤️
"Ugh, Monday again…",🔥
Best day ever!,🌸
"Good morning, how are you today?",🔥
That was hilarious 😂,🎉
That was hilarious 😂,😂
"I’m running late, sorry!",🥺
"I’m running late, sorry!",😍
Congrats on your promotion!,😡
What are you doing this weekend?,🙌
"Good morning, how are you today?",😍
Best day ever!,😢
Congrats on your promotion!,😂
I just bought a new phone!,😍
"Good morning, how are you today?",👍
That was hilarious 😂,😍
That was hilarious 😂,😎
I can’t believe this happened.,💯
Life is beautiful.,💯
She looks absolutely stunning.,😍
I can’t believe this happened.,👍
I love pizza so much!,😎
"I’m so tired, need some rest.",📱
"Ugh, Monday again…",🎉
This weather is amazing.,👍
I need coffee ASAP.,🤔
Do you want to grab lunch later?,😍
"I’m so tired, need some rest.",❤️
I love pizza so much!,📱
I can’t believe this happened.,🙌
Let’s meet at the coffee shop.,😍
Game night was so fun!,😍
"I’m so tired, need some rest.",💯
Life is beautiful.,😎
What are you doing this weekend?,😍
I need coffee ASAP.,☕
The project deadline got extended.,🏆
"I’m so tired, need some rest.",🥺
What are you doing this weekend?,😊
Game night was so fun!,☕
"That exam was tough, bro.",🌸
This weather is amazing.,☕
She looks absolutely stunning.,😴
I just bought a new phone!,🙌
Life is beautiful.,📱
I can’t believe this happened.,😎
That was hilarious 😂,☕
Best day ever!,😍
The project deadline got extended.,👍
"Good morning, how are you today?",🔥
Game night was so fun!,🙌
That was hilarious 😂,🔥
Life is beautiful.,🎉
"I’m so tired, need some rest.",😡
"That exam was tough, bro.",🍕
Let’s meet at the coffee shop.,👍
"Ugh, Monday again…",😊
I love pizza so much!,💯
Game night was so fun!,📱
Let’s meet at the coffee shop.,😎
Congrats on your promotion!,🤔
I can’t believe this happened.,🎉
"I’m so tired, need some rest.",📱
That was hilarious 😂,🙌
Game night was so fun!,🥺
Do you want to grab lunch later?,🥺
"I’m running late, sorry!",🏆
I love pizza so much!,🏆
Game night was so fun!,💯
She looks absolutely stunning.,❤️
What are you doing this weekend?,🌸
Let’s meet at the coffee shop.,🌸
What are you doing this weekend?,🎉
"I’m running late, sorry!",🎉
Game night was so fun!,🔥
That was hilarious 😂,🏆
"That exam was tough, bro.",💯
What are you doing this weekend?,😍
This weather is amazing.,📱
I just bought a new phone!,🤔
I need coffee ASAP.,😴
"I’m so tired, need some rest.",😴
I can’t believe this happened.,🎉
That was hilarious 😂,😢
What are you doing this weekend?,😊
"I’m so tired, need some rest.",😎
Do you want to grab lunch later?,😢
Game night was so fun!,😂
The project deadline got extended.,🔥
Let’s meet at the coffee shop.,😍
The project deadline got extended.,🌸
I love pizza so much!,😂
Life is beautiful.,🍕
I can’t believe this happened.,🤔
"Ugh, Monday again…",💯
Do you want to grab lunch later?,😂
Let’s meet at the coffee shop.,🙌
What are you doing this weekend?,🏆
Game night was so fun!,😡
Game night was so fun!,🌸
"Ugh, Monday again…",🍕
"I’m so tired, need some rest.",😡
I love pizza so much!,😊
Congrats on your promotion!,👍
"Ugh, Monday again…",🥺
"Ugh, Monday again…",😴
"Good morning, how are you today?",🥺
"I’m running late, sorry!",❤️
Best day ever!,😢
Let’s meet at the coffee shop.,😊
She looks absolutely stunning.,🌸
I can’t believe this happened.,😡
I need coffee ASAP.,👍
Game night was so fun!,🤔
What are you doing this weekend?,😡
That was hilarious 😂,🥺
"That exam was tough, bro.",😍
I love pizza so much!,😴
This weather is amazing.,🥺
"Ugh, Monday again…",👍
Congrats on your promotion!,😢
Let’s meet at the coffee shop.,😢
I can’t believe this happened.,👍
I can’t believe this happened.,😊
"I’m running late, sorry!",🔥
I love pizza so much!,🤔
Do you want to grab lunch later?,🥺
I can’t believe this happened.,😎
Congrats on your promotion!,😎
The project deadline got extended.,💯
Life is beautiful.,😊
"Ugh, Monday again…",❤️
I just bought a new phone!,😍
That was hilarious 😂,🎉
Do you want to grab lunch later?,😊
